name	gift	device_have_income	coin_free	income	coin_buy	device_no_income
保定望都7.30	2	3	0	23.8	28	1
南京江宁7.30	1	4	0	73.3	88	0
天津蓟县8.2	3	3	0	63.4	76	3
孝感孝昌9.3	0	1	0	9.9	12	3
孝义8.4	2	5	0	200.4	242	0
沈阳三好9.2	3	3	0	53.5	64	3
南京板桥9.4	0	1	0	4	4	3
延安8.2	1	3	0	49.6	62	3
西安西咸8.1	1	3	14	33.7	42	7
无锡8.30	0	0	0	0	0	5
泰安新华城7.31	9	6	0	97.3	112	0
重庆两江9.3	2	4	0	136.7	164	0
楚雄南华9.7	2	5	0	101.1	124	0
重庆8.3	1	3	14	29.7	38	4
长春宽城9.2	16	6	0	365	432	1
郑州锦艺7.31	2	3	4	131	154	0
西安悦享城8.31	3	2	0	49.5	60	4
西安银泰7.31	3	6	0	271.8	326	0
锦艺二店8.1	0	1	0	2	2	1
蚌埠固镇7.31	0	1	0	9.9	12	3
苏州人民路8.31	0	2	12	43.8	64	2
燕郊迎宾8.1	3	6	14	107	130	0
北京新年华马连道9.2	13	4	2	194.2	238	0
蚌埠学府9.5	0	2	0	8	8	2
西安万寿路8.1	0	3	0	51.5	62	3
武汉中南二路8.31	0	0	0	0	0	8
烟台牟平7.31	2	4	0	37.7	42	1
广州新塘9.2	0	3	0	43.8	50	1
